Step,Deviation,Deviation Feedback,Distance,Distance_Deriv,Runtime,Nb Line,Nb Points,Matching,Rudder,Throttle,Brakes
186,0.0,-0.000900900903287692,17.0,0.0,19.00625228881836,3,45,0,0.03603603613150768,0.6000000000000001,0.0
187,0.0,-0.000900900903287692,17.0,0.0,21.998167037963867,3,45,0,0.03603603613150768,0.6000000000000001,0.0
188,0.0,-0.000900900903287692,17.0,0.0,16.000032424926758,3,45,0,0.03603603613150768,0.6000000000000001,0.0
189,0.0,-0.000900900903287692,17.0,0.0,15.999794006347656,3,45,0,0.03603603613150768,0.6000000000000001,0.0
190,0.0,-0.000900900903287692,17.0,0.0,16.99042320251465,3,45,0,0.03603603613150768,0.6000000000000001,0.0
191,0.0,-0.000900900903287692,17.0,0.0,17.994403839111328,3,45,0,0.03603603613150768,0.6000000000000001,0.0
192,0.0,-0.000900900903287692,17.0,0.0,17.00568199157715,3,45,0,0.03603603613150768,0.6000000000000001,0.0
193,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,45,0,0.03603603613150768,0.6000000000000001,0.0
194,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,50,0,0.03603603613150768,0.6000000000000001,0.0
195,0.0,-0.000900900903287692,17.0,0.0,17.000198364257812,3,50,0,0.03603603613150768,0.6000000000000001,0.0
196,0.0,-0.000900900903287692,17.0,0.0,17.000913619995117,3,50,0,0.03603603613150768,0.6000000000000001,0.0
197,0.0,-0.000900900903287692,17.0,0.0,18.014907836914062,3,50,0,0.03603603613150768,0.6000000000000001,0.0
198,0.0,-0.000900900903287692,17.0,0.0,17.994403839111328,3,50,0,0.03603603613150768,0.6000000000000001,0.0
199,0.0,-0.000900900903287692,17.0,0.0,17.994165420532227,3,50,0,0.03603603613150768,0.6000000000000001,0.0
200,0.0,-0.000900900903287692,17.0,0.0,17.000675201416016,3,50,0,0.03603603613150768,0.6000000000000001,0.0
201,0.0,-0.000900900903287692,17.0,0.0,18.01443099975586,3,50,0,0.03603603613150768,0.6000000000000001,0.0
202,0.0,-0.000900900903287692,17.0,0.0,16.998291015625,3,50,0,0.03603603613150768,0.6000000000000001,0.0
203,0.0,-0.000900900903287692,17.0,0.0,18.00084114074707,3,50,0,0.03603603613150768,0.6000000000000001,0.0
204,0.0,-0.000900900903287692,17.0,0.0,16.999006271362305,3,50,0,0.03603603613150768,0.6000000000000001,0.0
205,0.0,-0.000900900903287692,17.0,0.0,17.987489700317383,3,50,0,0.03603603613150768,0.6000000000000001,0.0
206,0.0,-0.000900900903287692,17.0,0.0,16.992807388305664,3,50,0,0.03603603613150768,0.6000000000000001,0.0
207,0.0,-0.000900900903287692,17.0,0.0,18.32127571105957,3,50,0,0.03603603613150768,0.6000000000000001,0.0
208,0.0,-0.000900900903287692,17.0,0.0,17.993450164794922,3,45,0,0.03603603613150768,0.6000000000000001,0.0
209,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,45,0,0.03603603613150768,0.6000000000000001,0.0
210,0.0,-0.000900900903287692,17.0,0.0,16.0062313079834,3,45,0,0.03603603613150768,0.6000000000000001,0.0
211,0.0,-0.000900900903287692,17.0,0.0,17.000675201416016,3,45,0,0.03603603613150768,0.6000000000000001,0.0
212,0.0,-0.000900900903287692,17.0,0.0,16.998291015625,3,45,0,0.03603603613150768,0.6000000000000001,0.0
213,0.0,-0.000900900903287692,17.0,0.0,17.001867294311523,3,50,0,0.03603603613150768,0.6000000000000001,0.0
214,0.0,-0.000900900903287692,17.0,0.0,16.998767852783203,3,50,0,0.03603603613150768,0.6000000000000001,0.0
215,0.0,-0.000900900903287692,17.0,0.0,17.00115203857422,3,45,0,0.03603603613150768,0.6000000000000001,0.0
216,0.0,-0.000900900903287692,17.0,0.0,17.002105712890625,3,45,0,0.03603603613150768,0.6000000000000001,0.0
217,0.0,-0.000900900903287692,17.0,0.0,19.513607025146484,3,45,0,0.03603603613150768,0.6000000000000001,0.0
218,0.0,-0.000900900903287692,17.0,0.0,20.00284194946289,3,45,0,0.03603603613150768,0.6000000000000001,0.0
219,0.0,-0.000900900903287692,17.0,0.0,17.000198364257812,3,40,0,0.03603603613150768,0.6000000000000001,0.0
220,0.0,-0.000900900903287692,17.0,0.0,17.003774642944336,3,50,0,0.03603603613150768,0.6000000000000001,0.0
221,0.0,-0.000900900903287692,17.0,0.0,16.00027084350586,3,40,0,0.03603603613150768,0.6000000000000001,0.0
222,0.0,-0.000900900903287692,17.0,0.0,15.000104904174805,3,40,0,0.03603603613150768,0.6000000000000001,0.0
223,0.0,-0.000900900903287692,17.0,0.0,15.99264144897461,3,40,0,0.03603603613150768,0.6000000000000001,0.0
224,0.0,-0.000900900903287692,17.0,0.0,14.993429183959961,3,40,0,0.03603603613150768,0.6000000000000001,0.0
225,0.0,-0.000900900903287692,17.0,0.0,16.999483108520508,3,40,0,0.03603603613150768,0.6000000000000001,0.0
226,0.0,-0.000900900903287692,17.0,0.0,17.000913619995117,3,40,0,0.03603603613150768,0.6000000000000001,0.0
